customer_type,customer_idx,param,created_at
user,5571,9781635190151,2022-08-23 11:46:23
user,5574,9788936434267,2022-08-23 11:50:30
user,5574,9788936434267,2022-08-23 11:52:27
user,5574,9788991418332,2022-08-23 11:52:36
user,5577,9781635190151,2022-08-23 11:54:56
user,5577,9781635190151,2022-08-23 11:56:49
user,5577,9781635190151,2022-08-23 12:00:33
user,5577,9781635190151,2022-08-23 12:01:15
user,5577,9781635190151,2022-08-23 12:01:45
user,5579,9781635190151,2022-08-23 12:17:41
user,5577,9781635190151,2022-08-23 12:18:18
user,5550,9781635190151,2022-08-23 12:23:05
user,5566,9781635190151,2022-08-23 12:31:17
user,5566,9781635190151,2022-08-23 12:32:11
user,5580,9781635190151,2022-08-23 12:33:17
user,5580,9781635190151,2022-08-23 12:33:37
user,5583,9781635190151,2022-08-23 13:16:51
user,5583,9781635190151,2022-08-23 13:20:28
user,5498,9781635190151,2022-08-23 13:23:04
user,5586,9781635190151,2022-08-23 14:04:02
user,5585,9788992491914,2022-08-23 14:04:16
user,5585,9788992491846,2022-08-23 14:05:19
user,5585,9788992491914,2022-08-23 14:05:24
user,5587,9781635190151,2022-08-23 14:16:48
user,5589,9781635190151,2022-08-23 14:48:20
user,5589,9781635190151,2022-08-23 14:48:50
user,5589,9781635190151,2022-08-23 14:49:03
user,5590,9781635190151,2022-08-23 15:00:18
user,5591,9781635190151,2022-08-23 15:01:35
user,5590,9781635190151,2022-08-23 15:08:28
user,5595,9781635190168,2022-08-23 16:16:29
user,5595,9781635190168,2022-08-23 16:17:11
user,5594,9788982226465,2022-08-23 16:18:39
user,5594,9788982226472,2022-08-23 17:00:18
user,5599,9781635190199,2022-08-23 17:51:27
user,5600,9781635190151,2022-08-23 22:54:56
user,5601,9781635190151,2022-08-24 00:36:46
user,5601,9781635190151,2022-08-24 00:37:00
user,5601,9781635190151,2022-08-24 00:38:01
user,5602,9791167790927,2022-08-24 00:52:14
user,5607,9788992491846,2022-08-24 02:32:30
user,5591,9781635190151,2022-08-24 02:45:10
user,5610,9781635190151,2022-08-24 02:54:08
user,5612,9788953934283,2022-08-24 02:57:00
user,5615,9788953934313,2022-08-24 04:15:39
user,5615,9788953934436,2022-08-24 04:15:51
user,5615,9788953934313,2022-08-24 04:20:25
user,5616,9781635190151,2022-08-24 04:42:34
user,5591,9781635190151,2022-08-24 04:56:46
user,5618,9781635190151,2022-08-24 04:57:20
user,5618,9781635190151,2022-08-24 04:59:10
user,5616,9791196577094,2022-08-24 05:34:48
user,5616,9791138585378,2022-08-24 05:36:49
user,3982,9781635190199,2022-08-24 06:10:16
user,5601,9781635190151,2022-08-24 07:11:31
user,5601,9781635190151,2022-08-24 07:11:40
user,5621,9781635190151,2022-08-24 07:47:41
user,5621,9781635190403,2022-08-24 07:55:03
user,5622,9788954699914,2022-08-24 08:22:23
user,5623,9781635190151,2022-08-24 08:47:08
user,5433,9781635190151,2022-08-24 09:08:00
user,5628,9788977824294,2022-08-24 10:58:24
user,5628,9788977824300,2022-08-24 10:59:17
user,5628,9788977823389,2022-08-24 11:00:57
user,5636,9781635190168,2022-08-24 12:53:52
user,5640,9781635190151,2022-08-24 13:11:58
user,5406,9788994011578,2022-08-24 13:14:15
user,5406,9788994011561,2022-08-24 13:14:21
user,5631,9781635190151,2022-08-24 13:27:22
user,5641,9781635190151,2022-08-24 13:30:22
user,5631,9781635190151,2022-08-24 13:38:14
user,5643,9781635190151,2022-08-24 13:56:26
user,5643,9781635190151,2022-08-24 13:56:36
user,5639,9781635190151,2022-08-24 14:00:49
user,5645,9781635190151,2022-08-24 14:01:54
user,5613,9791185872339,2022-08-24 14:07:35
user,5639,9781635190151,2022-08-24 14:08:31
user,5646,9781635190151,2022-08-24 14:08:52
user,5631,9781635190151,2022-08-24 14:12:00
user,5591,9781635190151,2022-08-24 14:35:22
user,5648,9781635190151,2022-08-24 14:53:07
user,5649,9781635190151,2022-08-24 15:17:00
user,5650,9781635190151,2022-08-24 15:46:25
user,5529,9781635190151,2022-08-24 15:54:50
user,5529,9781635190151,2022-08-24 15:58:01
user,5540,9781635190151,2022-08-24 16:09:13
user,5540,9781635190151,2022-08-24 16:11:00
user,5651,9788977824768,2022-08-24 16:47:27
user,5569,9788982226434,2022-08-24 17:17:45
user,5652,9781635190168,2022-08-24 19:40:31
user,5652,9781635190168,2022-08-24 20:50:09
user,5652,9781635190168,2022-08-24 20:52:04
user,5652,9781635190168,2022-08-24 20:53:50
user,2712,9791196577094,2022-08-24 22:05:46
user,5656,9781635190151,2022-08-24 23:58:45
user,5656,9781635190205,2022-08-24 23:59:23
user,5656,9781635190380,2022-08-24 23:59:57
user,1049,9788974824761,2022-08-25 02:04:11
user,5663,9791167480415,2022-08-25 03:08:42
user,5663,9791189943783,2022-08-25 03:09:36
user,5663,9791189943783,2022-08-25 03:11:47
company,46,9791130446318,2022-08-25 03:14:39
user,5666,9781635190151,2022-08-25 04:18:51
user,5668,9791185872339,2022-08-25 04:32:45
user,4701,9788955186260,2022-08-25 04:34:25
user,5661,9781635190151,2022-08-25 04:38:11
user,4701,7051769002973,2022-08-25 04:44:07
user,4701,9791191343533,2022-08-25 04:45:16
user,4701,9791138313667,2022-08-25 04:45:52
user,4701,9788955186260,2022-08-25 04:50:28
user,5669,9781635190151,2022-08-25 05:14:10
user,4265,9781635190168,2022-08-25 05:51:41
user,4265,9781635190168,2022-08-25 05:51:53
user,4265,9781635190168,2022-08-25 05:53:22
user,5672,9781635190151,2022-08-25 06:40:23
user,5672,9781635190151,2022-08-25 06:46:07
user,5672,9781635190151,2022-08-25 06:47:45
user,5551,9781635190151,2022-08-25 07:15:39
user,5551,9781635190151,2022-08-25 07:15:52
user,5661,9781635190151,2022-08-25 07:17:27
user,5673,9781635190151,2022-08-25 07:18:18
user,5675,9781635190151,2022-08-25 07:42:04
user,5675,9781635190151,2022-08-25 07:43:00
user,5675,9781635190151,2022-08-25 07:47:01
user,5675,9781635190151,2022-08-25 07:49:05
user,5555,9781635190151,2022-08-25 07:52:19
user,5676,9788968504167,2022-08-25 08:17:40
user,5677,9781635190151,2022-08-25 08:18:08
company_emp,99,9791159055461,2022-08-25 08:18:42
user,1888,9791136401212,2022-08-25 08:45:31
user,1888,9791190908740,2022-08-25 08:47:21
user,1888,9791190908153,2022-08-25 08:48:41
user,1888,9791190908740,2022-08-25 08:51:13
user,1888,9791136401212,2022-08-25 08:54:44
user,1888,9791136401212,2022-08-25 09:26:51
user,5680,9788953934283,2022-08-25 10:23:58
user,5680,9788953934405,2022-08-25 10:24:06
user,5680,9788953934283,2022-08-25 10:25:04
user,1351,9791165213497,2022-08-25 12:34:22
user,1351,9791197757396,2022-08-25 12:36:44
user,1351,9791165213497,2022-08-25 12:37:45
user,1351,9788956057361,2022-08-25 12:53:26
user,1351,9791165213497,2022-08-25 12:55:35
user,1351,9788962921649,2022-08-25 13:02:51
user,5688,9781635190151,2022-08-25 13:36:55
user,5690,9781635190151,2022-08-25 13:52:33
user,5693,2909101404010,2022-08-25 15:12:26
user,5693,7051821006500,2022-08-25 15:12:55
user,5692,9781635190151,2022-08-25 15:32:25
user,5693,9791191043754,2022-08-25 16:13:27
user,5693,2909100404404,2022-08-25 16:50:09
user,5693,9788970128856,2022-08-25 16:51:21
user,5693,9788970127248,2022-08-25 16:51:37
user,5693,9788982819278,2022-08-25 17:06:36
user,5693,9791191043525,2022-08-25 17:18:15
user,5693,9788986836813,2022-08-25 17:18:40
user,5693,9791160073522,2022-08-25 17:22:33
user,5594,9788982226472,2022-08-25 19:24:04
user,5696,9788953934283,2022-08-25 23:03:48
user,5595,9781635190168,2022-08-26 00:51:55
user,5595,9781635190168,2022-08-26 00:52:15
user,5698,9788968502286,2022-08-26 01:08:21
user,5701,9781635190151,2022-08-26 01:20:25
user,5595,9781635190168,2022-08-26 01:27:05
user,5706,9781635190151,2022-08-26 03:50:09
user,5706,9781635190151,2022-08-26 03:50:54
user,5706,9781635190151,2022-08-26 03:51:58
user,5706,9781635190151,2022-08-26 03:52:50
user,5706,9781635190151,2022-08-26 03:53:09
user,5706,9781635190151,2022-08-26 03:53:30
user,5706,9781635190151,2022-08-26 03:54:02
user,5710,9781635190168,2022-08-26 04:52:30
user,5665,9781635190151,2022-08-26 05:02:02
user,5665,9781635190151,2022-08-26 05:02:49
user,5454,9791196756901,2022-08-26 05:12:44
user,5665,9781635190243,2022-08-26 05:37:26
user,5706,9781635190151,2022-08-26 05:43:17
user,5706,9781635190151,2022-08-26 05:45:25
user,4287,9788954699914,2022-08-26 06:15:14
user,5706,9781635190199,2022-08-26 06:27:29
user,5718,9788968503634,2022-08-26 08:36:00
user,5718,9788968502286,2022-08-26 08:36:14
user,5721,9791196577094,2022-08-26 10:33:34
user,5566,9781635190151,2022-08-26 12:48:25
user,5723,9781635190151,2022-08-26 14:17:25
user,5723,9781635190151,2022-08-26 14:18:44
